,standardized_date,arrests
0,2023-09-01,156
1,2023-10-01,146
2,2023-11-01,145
3,2023-12-01,110
4,2024-01-01,131
5,2024-02-01,115
6,2024-03-01,144
7,2024-04-01,147
8,2024-05-01,151
9,2024-06-01,133
10,2024-07-01,164
11,2024-08-01,144
12,2024-09-01,129
13,2024-10-01,163
14,2024-11-01,140
15,2024-12-01,112
16,2025-01-01,203
17,2025-02-01,269
18,2025-03-01,350
19,2025-04-01,290
20,2025-05-01,467
21,2025-06-01,432
22,2025-07-01,354
